CustomerID,Lookalikes
C0001,"[{'SimilarCustomerID': 'C0194', 'SimilarityScore': 0.4049}, {'SimilarCustomerID': 'C0104', 'SimilarityScore': 0.374}, {'SimilarCustomerID': 'C0020', 'SimilarityScore': 0.3666}]"
C0002,"[{'SimilarCustomerID': 'C0030', 'SimilarityScore': 0.4046}, {'SimilarCustomerID': 'C0091', 'SimilarityScore': 0.3838}, {'SimilarCustomerID': 'C0071', 'SimilarityScore': 0.3202}]"
C0003,"[{'SimilarCustomerID': 'C0181', 'SimilarityScore': 0.4776}, {'SimilarCustomerID': 'C0134', 'SimilarityScore': 0.471}, {'SimilarCustomerID': 'C0144', 'SimilarityScore': 0.4238}]"
C0004,"[{'SimilarCustomerID': 'C0070', 'SimilarityScore': 0.3519}, {'SimilarCustomerID': 'C0175', 'SimilarityScore': 0.3161}, {'SimilarCustomerID': 'C0132', 'SimilarityScore': 0.2796}]"
C0005,"[{'SimilarCustomerID': 'C0096', 'SimilarityScore': 0.4875}, {'SimilarCustomerID': 'C0023', 'SimilarityScore': 0.4703}, {'SimilarCustomerID': 'C0055', 'SimilarityScore': 0.3821}]"
C0006,"[{'SimilarCustomerID': 'C0040', 'SimilarityScore': 0.4869}, {'SimilarCustomerID': 'C0178', 'SimilarityScore': 0.3978}, {'SimilarCustomerID': 'C0058', 'SimilarityScore': 0.3142}]"
C0007,"[{'SimilarCustomerID': 'C0079', 'SimilarityScore': 0.6174}, {'SimilarCustomerID': 'C0118', 'SimilarityScore': 0.4783}, {'SimilarCustomerID': 'C0020', 'SimilarityScore': 0.4566}]"
C0008,"[{'SimilarCustomerID': 'C0144', 'SimilarityScore': 0.3268}, {'SimilarCustomerID': 'C0169', 'SimilarityScore': 0.2789}, {'SimilarCustomerID': 'C0091', 'SimilarityScore': 0.2606}]"
C0009,"[{'SimilarCustomerID': 'C0140', 'SimilarityScore': 0.5334}, {'SimilarCustomerID': 'C0083', 'SimilarityScore': 0.5308}, {'SimilarCustomerID': 'C0162', 'SimilarityScore': 0.4989}]"
C0010,"[{'SimilarCustomerID': 'C0094', 'SimilarityScore': 0.5151}, {'SimilarCustomerID': 'C0092', 'SimilarityScore': 0.4055}, {'SimilarCustomerID': 'C0143', 'SimilarityScore': 0.366}]"
C0011,"[{'SimilarCustomerID': 'C0135', 'SimilarityScore': 0.5133}, {'SimilarCustomerID': 'C0120', 'SimilarityScore': 0.3652}, {'SimilarCustomerID': 'C0173', 'SimilarityScore': 0.3048}]"
C0012,"[{'SimilarCustomerID': 'C0164', 'SimilarityScore': 0.4883}, {'SimilarCustomerID': 'C0158', 'SimilarityScore': 0.3751}, {'SimilarCustomerID': 'C0173', 'SimilarityScore': 0.3562}]"
C0013,"[{'SimilarCustomerID': 'C0169', 'SimilarityScore': 0.4508}, {'SimilarCustomerID': 'C0092', 'SimilarityScore': 0.3677}, {'SimilarCustomerID': 'C0099', 'SimilarityScore': 0.3172}]"
C0014,"[{'SimilarCustomerID': 'C0128', 'SimilarityScore': 0.9029}, {'SimilarCustomerID': 'C0159', 'SimilarityScore': 0.7628}, {'SimilarCustomerID': 'C0058', 'SimilarityScore': 0.417}]"
C0015,"[{'SimilarCustomerID': 'C0073', 'SimilarityScore': 0.7231}, {'SimilarCustomerID': 'C0036', 'SimilarityScore': 0.5997}, {'SimilarCustomerID': 'C0059', 'SimilarityScore': 0.451}]"
C0016,"[{'SimilarCustomerID': 'C0187', 'SimilarityScore': 0.6345}, {'SimilarCustomerID': 'C0064', 'SimilarityScore': 0.5403}, {'SimilarCustomerID': 'C0052', 'SimilarityScore': 0.4583}]"
C0017,"[{'SimilarCustomerID': 'C0071', 'SimilarityScore': 0.4555}, {'SimilarCustomerID': 'C0024', 'SimilarityScore': 0.3588}, {'SimilarCustomerID': 'C0037', 'SimilarityScore': 0.3556}]"
C0018,"[{'SimilarCustomerID': 'C0177', 'SimilarityScore': 0.3651}, {'SimilarCustomerID': 'C0115', 'SimilarityScore': 0.3248}, {'SimilarCustomerID': 'C0059', 'SimilarityScore': 0.3119}]"
C0019,"[{'SimilarCustomerID': 'C0064', 'SimilarityScore': 0.3978}, {'SimilarCustomerID': 'C0024', 'SimilarityScore': 0.3859}, {'SimilarCustomerID': 'C0084', 'SimilarityScore': 0.3126}]"
C0020,"[{'SimilarCustomerID': 'C0026', 'SimilarityScore': 0.6271}, {'SimilarCustomerID': 'C0104', 'SimilarityScore': 0.4725}, {'SimilarCustomerID': 'C0007', 'SimilarityScore': 0.4566}]"
